seed,condition,n,accuracy,macro_f1,weighted_f1,mae,pearson,max_abs_logit_change,mean_abs_logit_change,max_abs_intensity_change,mean_abs_intensity_change,delta_macro_f1,delta_weighted_f1,delta_mae,delta_pearson
1729,FULL,728,0.6332417582417582,0.6029556503452445,0.6284195967374558,0.6110567616555932,0.6353120640983304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729,AUDIO_TEMPORAL_PERMUTED,728,0.635989010989011,0.6052619152587061,0.6310376797820637,0.6103505586294117,0.6360846731794731,0.1408771276473999,0.013145869597792625,0.09600251913070679,0.011092926375567913,0.002306264913461642,0.0026180830446078662,-0.0007062030261815178,0.0007726090811427389
1729,VISION_TEMPORAL_PERMUTED,728,0.6346153846153846,0.6041951536516755,0.6300752457002458,0.6120870899272172,0.6344508960512598,0.13750553131103516,0.007866726256906986,0.10682280361652374,0.0071904356591403484,0.0012395033064310779,0.001655648962789913,0.0010303282716239703,-0.0008611680470705929
1729,AUDIO_REVERSED,728,0.6373626373626373,0.6078542413068048,0.6327410406357774,0.6118027096213504,0.6347132647817014,0.22312557697296143,0.01724618673324585,0.15192115306854248,0.01383906975388527,0.004898590961560312,0.004321443898321564,0.000745947965757221,-0.000598799316628984
1729,VISION_REVERSED,728,0.635989010989011,0.6058449114194816,0.6312104642451523,0.6130172761702772,0.633217327425126,0.22629311680793762,0.011445313692092896,0.23905782401561737,0.01082596369087696,0.0028892610742371483,0.002790867507696415,0.001960514514684042,-0.002094736673204367
2718,FULL,728,0.6304945054945055,0.5877008377703787,0.6154087065769958,0.5787909605945231,0.6522651384351025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2718,AUDIO_TEMPORAL_PERMUTED,728,0.6332417582417582,0.5922976690651431,0.6192419401439802,0.5790106612446354,0.6518217327833554,0.08895468711853027,0.010230801068246365,0.044500112533569336,0.0062678540125489235,0.004596831294764403,0.0038332335669843953,0.0002197006501123422,-0.00044340565174705304
2718,VISION_TEMPORAL_PERMUTED,728,0.6318681318681318,0.58932338178111,0.6173450255031881,0.5786266449116398,0.6526446173239503,0.16668078303337097,0.010673321783542633,0.1328723430633545,0.010127203539013863,0.0016225440107312528,0.001936318926192393,-0.0001643156828832204,0.00037947888884781733
2718,AUDIO_REVERSED,728,0.6346153846153846,0.5938503276601903,0.620302326012238,0.5788766703004552,0.6515907227280346,0.136543869972229,0.01517579797655344,0.07253479957580566,0.00904049351811409,0.006149489889811566,0.004893619435242247,8.570970593213545e-05,-0.0006744157070678325
2718,VISION_REVERSED,728,0.6346153846153846,0.5918738550472984,0.6197960197648357,0.5799899943894771,0.6515122314355716,0.29590272903442383,0.016756772994995117,0.2417522668838501,0.01620994322001934,0.004173017276919655,0.004387313187839914,0.0011990337949540075,-0.0007529069995309001
31415,FULL,728,0.6153846153846154,0.5529250821912134,0.5878658436749064,0.6280767337312272,0.6348074534886993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31415,AUDIO_TEMPORAL_PERMUTED,728,0.614010989010989,0.5519844820618048,0.5867922232249431,0.6287180738732127,0.6343900513475685,0.11572551727294922,0.009144200943410397,0.07013897597789764,0.007582405116409063,-0.0009406001294085531,-0.0010736204499632862,0.0006413401419854692,-0.0004174021411307294
31415,VISION_TEMPORAL_PERMUTED,728,0.6153846153846154,0.5543329069582336,0.5889640387858492,0.6286968283872069,0.6351661834498412,0.09578597545623779,0.00824620109051466,0.10306715965270996,0.007643275894224644,0.0014078247670201716,0.00109819511094289,0.000620094655979675,0.0003587299611419459
31415,AUDIO_REVERSED,728,0.6153846153846154,0.5540628116244686,0.588438139789802,0.6291888680802863,0.634703718307344,0.11914277076721191,0.011439908295869827,0.09059685468673706,0.00964522548019886,0.0011377294332551857,0.0005722961148956207,0.0011121343490591018,-0.00010373518135531334
31415,VISION_REVERSED,728,0.6153846153846154,0.5541985444947489,0.5888158599073406,0.6276618903522011,0.6351902677077371,0.23229074478149414,0.013074218295514584,0.16060608625411987,0.01205503661185503,0.001273462303535533,0.000950016232434292,-0.00041484337902608637,0.0003828142190378525
