seed,condition,n,accuracy,macro_f1,weighted_f1,mae,pearson,max_abs_logit_change,mean_abs_logit_change,max_abs_intensity_change,mean_abs_intensity_change,delta_macro_f1,delta_weighted_f1,delta_mae,delta_pearson
1729,FULL,728,0.6332417582417582,0.6029556503452445,0.6284195967374558,0.6110567616555932,0.6353120640983304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729,AUDIO_SAMPLE_PERMUTED,728,0.6263736263736264,0.5962037640375469,0.621244527945342,0.6109397842187069,0.6340679154858518,1.956674337387085,0.16752789914608002,1.2468920946121216,0.13344904780387878,-0.006751886307697519,-0.007175068792113826,-0.000116977436886323,-0.0012441486124785683
1729,VISION_SAMPLE_PERMUTED,728,0.6167582417582418,0.5872615761621863,0.6120204265400351,0.6332633393795222,0.6058257496031351,1.27138352394104,0.19231295585632324,1.1812165975570679,0.1656402200460434,-0.015694074183058127,-0.016399170197420765,0.022206577723928977,-0.029486314495195343
1729,AUDIO+VISION_SAMPLE_PERMUTED,728,0.6098901098901099,0.5768976971430273,0.6028361167610653,0.6370003056398383,0.6020902478282919,2.0918779373168945,0.2831153869628906,1.4910519123077393,0.2338959127664566,-0.026057953202217154,-0.025583479976390544,0.025943543984245143,-0.03322181627003851
2718,FULL,728,0.6304945054945055,0.5877008377703787,0.6154087065769958,0.5787909605945231,0.6522651384351025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2718,AUDIO_SAMPLE_PERMUTED,728,0.6304945054945055,0.5910484863973235,0.6166910332192724,0.5848515687597043,0.6419440365091993,1.211540937423706,0.13522329926490784,0.7989408373832703,0.08679196238517761,0.0033476486269448102,0.0012823266422766766,0.00606060816518128,-0.010321101925903187
2718,VISION_SAMPLE_PERMUTED,728,0.6291208791208791,0.5860363509337495,0.6136301800956326,0.5971278772757525,0.6296424010500455,1.1265654563903809,0.15740686655044556,0.9001714587211609,0.1461094170808792,-0.001664486836629231,-0.0017785264813631185,0.018336916681229387,-0.022622737385056935
2718,AUDIO+VISION_SAMPLE_PERMUTED,728,0.635989010989011,0.5945029426526097,0.6217315350180731,0.6027519475773571,0.6186317488160546,1.4537861347198486,0.2279367744922638,0.9801623821258545,0.18713676929473877,0.006802104882230986,0.006322828441077344,0.023960986982834,-0.03363338961904783
31415,FULL,728,0.6153846153846154,0.5529250821912134,0.5878658436749064,0.6280767337312272,0.6348074534886993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31415,AUDIO_SAMPLE_PERMUTED,728,0.6085164835164835,0.5508459236199053,0.5842705471611722,0.6270286674370764,0.6410030380817732,1.9760003089904785,0.16299986839294434,2.0181338787078857,0.143927663564682,-0.0020791585713081373,-0.0035952965137341364,-0.0010480662941507735,0.0061955845930738995
31415,VISION_SAMPLE_PERMUTED,728,0.6112637362637363,0.5467903417217426,0.5833833577039405,0.6424858751132698,0.6154037657717059,1.0828145742416382,0.1637662798166275,1.1885493993759155,0.14686210453510284,-0.006134740469470823,-0.004482485970965899,0.014409141382042634,-0.019403687716993412
31415,AUDIO+VISION_SAMPLE_PERMUTED,728,0.5989010989010989,0.5385341632714092,0.572901383017829,0.6446560218234311,0.6189562417853128,1.9613292217254639,0.25345659255981445,2.0781073570251465,0.23020800948143005,-0.014390918919804152,-0.01496446065707735,0.01657928809220388,-0.015851211703386436
