model,seed,missing_type,position,ratio,n,clean_accuracy,clean_macro_f1,clean_weighted_f1,clean_mae,clean_pearson,gap_accuracy,gap_macro_f1,gap_weighted_f1,gap_mae,gap_pearson,delta_macro_f1_clean_minus_gap,delta_mae_gap_minus_clean
M1,2718,text,early,0.2,715,0.6181818181818182,0.5502617628658918,0.5880361426244011,0.5868322220370434,0.6450125446132786,0.6195804195804195,0.5527801182752871,0.5909720468047919,0.6070783186948149,0.6215929542862434,-0.0025183554093952676,0.02024609665777144
M1,31415,text,early,0.2,715,0.6181818181818182,0.54598652630755,0.5853848103050912,0.6369708476573477,0.6431856731586778,0.5916083916083916,0.5006287886349002,0.5466430309907688,0.687680845061265,0.6184047208821657,0.04535773767264972,0.05070999740391735
M0,1729,text,early,0.3,715,0.6335664335664336,0.6003974535384574,0.628060406233534,0.6170394200134788,0.6345134385194822,0.5818181818181818,0.5222291651512414,0.5599721116243234,0.6451899971659913,0.5815036605235937,0.07816828838721601,0.028150577152512568
M0,2718,text,early,0.3,715,0.6307692307692307,0.5846602817524914,0.6148351089086143,0.5850616864277167,0.6514378907109494,0.5874125874125874,0.5297744825740729,0.5643975491534385,0.6274336216606564,0.6012521461246831,0.054885799178418515,0.042371935232939695
M0,31415,text,early,0.3,715,0.6153846153846154,0.5482163712010347,0.5863161255043784,0.6312396174716809,0.6361066028165463,0.5706293706293706,0.4740988188390414,0.5220349616054396,0.6793323353825176,0.5900723565743934,0.0741175523619933,0.04809271791083669
M1,1729,text,early,0.3,715,0.6293706293706294,0.5993311394338793,0.6249942312107749,0.5964291707977288,0.6410823753701124,0.579020979020979,0.5433539988676802,0.5736047243790992,0.6342085742541439,0.5908310702130827,0.05597714056619907,0.03777940345641506
M1,2718,text,early,0.3,715,0.6181818181818182,0.5502617628658918,0.5880361426244011,0.5868322220370434,0.6450125446132786,0.6125874125874126,0.5429287954566929,0.5821604734774593,0.6173202706152456,0.5997613632986614,0.007332967409198865,0.030488048578202198
M1,31415,text,early,0.3,715,0.6181818181818182,0.54598652630755,0.5853848103050912,0.6369708476573477,0.6431856731586778,0.579020979020979,0.4804723976217303,0.528179104722682,0.6964504756909384,0.5997380726383872,0.06551412868581968,0.05947962803359075
M0,1729,text,middle,0.1,715,0.6335664335664336,0.6003974535384574,0.628060406233534,0.6170394200134788,0.6345134385194822,0.6125874125874126,0.5778316056597211,0.606472984961953,0.6226034484797164,0.6137536925618209,0.022565847878736278,0.005564028466237603
M0,2718,text,middle,0.1,715,0.6307692307692307,0.5846602817524914,0.6148351089086143,0.5850616864277167,0.6514378907109494,0.6293706293706294,0.5888764339720618,0.6178426678622518,0.5955734076999271,0.6337684862258558,-0.0042161522195703904,0.01051172127221034
