model,seed,clean_n,clean_accuracy,clean_macro_f1,clean_weighted_f1,clean_mae,clean_pearson,S1_to_S6_mean_macro_f1,S1_to_S6_mean_mae
M0,1729,728,0.6332417582417582,0.6029556503452445,0.6284195967374558,0.6110567622798864,0.6353120620256136,0.581764544951142,0.6168028646767448
M0,2718,728,0.6304945054945055,0.5877008377703787,0.6154087065769958,0.5787909589544742,0.6522651400099061,0.5740835797369802,0.5980066189118246
M0,31415,728,0.6153846153846154,0.5529250821912134,0.5878658436749064,0.6280767334037292,0.634807453301007,0.5205451797781765,0.6521454455448811
M1,1729,728,0.6304945054945055,0.6038288937683441,0.6270128971656019,0.590577015488864,0.6412710512701367,0.5887380277652821,0.6047351772472899
M1,2718,728,0.6208791208791209,0.5601919476098907,0.5939476122502069,0.5809973866037851,0.6456300305399465,0.56159594732972,0.597476838586992
M1,31415,728,0.6181318681318682,0.5511355928622116,0.587309866138232,0.6320622611871171,0.6429994114389174,0.5205986337464266,0.6538149040465696
