model,seeds,valid_n,clean_accuracy_mean,clean_accuracy_sample_sd,clean_macro_f1_mean,clean_macro_f1_sample_sd,clean_weighted_f1_mean,clean_weighted_f1_sample_sd,clean_mae_mean,clean_mae_sample_sd,clean_pearson_mean,clean_pearson_sample_sd,S1_to_S6_mean_macro_f1_mean,S1_to_S6_mean_macro_f1_sample_sd,S1_to_S6_mean_mae_mean,S1_to_S6_mean_mae_sample_sd
M0,"1729,2718,31415",728,0.6263736263736264,0.009615384615384581,0.5811938567689455,0.025642153551691915,0.6105647156631192,0.02070627701555373,0.6059748182126966,0.025032808619734274,0.6407948851121755,0.009936735784724315,0.5587977681554329,0.03334958312820643,0.6223183097111501,0.027487601527719657
M1,"1729,2718,31415",728,0.6231684981684982,0.006491504981116197,0.5717188114134822,0.028174410942484105,0.602756791851347,0.02126696739368196,0.6012122210932555,0.027142882174496768,0.6433001644163335,0.0021949975703235633,0.5569775362804762,0.034303666637533696,0.6186756399602839,0.030647133314899044
