modality,target,n,mean,median,p05,p95,min,max
text,cls,728,0.922618,0.836742,-1.049327,3.011054,-2.604344,4.854252
text,reg,728,0.775698,0.647416,0.055884,1.937233,0.001309,3.285831
audio,cls,728,0.030050,0.022727,-0.281921,0.390703,-1.286901,2.040622
audio,reg,728,0.092595,0.057810,0.005528,0.285962,0.000006,1.013337
vision,cls,728,0.051720,0.026383,-0.403064,0.546406,-1.226365,1.130676
vision,reg,728,0.153296,0.087272,0.005115,0.594072,0.000068,0.964361
audio_vision_joint,cls,728,0.081542,0.074435,-0.501167,0.691698,-1.381550,2.041932
audio_vision_joint,reg,728,0.197745,0.135732,0.009519,0.625422,0.000418,1.059506
