modality,target,eligible,top_mean,random_mean,bottom_mean,top_random_ci,random_bottom_ci,pass
text,cls,644,0.8089221958070993,0.4202893382482092,0.010278607527754322,,,True
text,reg,641,0.46198508068163663,0.3005707693669811,0.17181631722218718,,,True
audio,cls,728,0.04561381547578743,0.001403666459597074,-0.04397044819523836,,,True
audio,reg,728,0.01462991226203535,0.008581206047073376,0.0018620485733173643,,,True
vision,cls,726,0.0322605953282438,0.004249719836166739,-0.013355833742531536,,,True
vision,reg,726,0.026815694331873936,0.010023292724925706,0.0014409904032124633,,,True
